tribe,address,user name,display name,profile image,eliminated day
yellow,0x227B6008ae04718Aa821E57d04D8337799cdfdb2,henri_stern,"Henri Stern (🪄,🧻)",https://pbs.twimg.com/profile_images/1452532280967065600/Z8vxVEJk_normal.jpg,4
silver,0xcEd09CCFc82b091195bdE04E6Cd65374518E7b95,ddwchen,tree girl 🌲,https://pbs.twimg.com/profile_images/1725185305412857856/TGn5hWx0_normal.jpg,4
white,0x8Fac841807E21807F511dAf3C04a34cd78661F4c,hhjacks,"jacksun.lens (🏰,🏰)",https://pbs.twimg.com/profile_images/1735284079514488832/4UpvCMk2_normal.png,4
red,0x1AdC09fa9A173a13Dc5b4E0F85D1Edf7A8C10f50,freezer_boi,hamza s (freezer),https://pbs.twimg.com/profile_images/1465072390241542146/c73hhoVW_normal.jpg,4
white,0xDC4471ee9DFcA619Ac5465FdE7CF2634253a9dc6,c0rv0s,Nate,https://pbs.twimg.com/profile_images/1666584856485134336/cSTB8Nmu_normal.jpg,4
red,0xede5981A891F6BfFEaab13Cc6E1Ec3bbC452C97e,kislam48,kaziislam.eth,https://pbs.twimg.com/profile_images/1576924405963399168/D49uh1pZ_normal.jpg,4
silver,0x528541c6e72e4cd6c098b622FA5700dF0A5eae56,lou_markets,Louis,https://pbs.twimg.com/profile_images/1610356961912188928/dzVu3A91_normal.jpg,4
white,0x439945b21b40b1cA89c135892fa1E3896Ff39Ff0,y77cao,chaos,https://pbs.twimg.com/profile_images/1646693910742269952/9LPG2Lg1_normal.jpg,4
red,0x6D4065cfF95252b12f07e2192D33B264f90796Db,jameswilsterman,James Wilsterman,https://pbs.twimg.com/profile_images/492250951080636418/UT-byXER_normal.png,4
blue,0x223F2db258234F7Fa164a9e4C0929318FEb3B550,vmny,Victor Ma,https://pbs.twimg.com/profile_images/1700125719764799489/LkCKj76F_normal.jpg,4
gold,0x57B02589d6e24203FC43e442ce9A4803E290293b,joshbreite,joshbreite.eth,https://pbs.twimg.com/profile_images/1576756680989229058/iWk4Oqnd_normal.jpg,4
yellow,0x6Dc43be93a8b5Fd37dC16f24872BaBc6dA5E5e3E,blockchainjames,James.eth 🔥_🔥,https://pbs.twimg.com/profile_images/1236225920589062144/JZoUlTCP_normal.jpg,4
blue,0x45e2C1b07CcE6c0C361bB420C13FA0C6154981E9,naturevrm,naturevrm.eth 🕳🐇,https://pbs.twimg.com/profile_images/1558862407354777601/ZGmUt2lF_normal.jpg,4
blue,0x9B138E61bc913654132CA6a0e1571fECe0f5B570,Prooflolz,prooflol.eth,https://pbs.twimg.com/profile_images/1636838003921256452/-Z_Y9ixI_normal.jpg,4
purple,0x79C4213a328E3B4F1D87b4953C14759399dB25E2,litocoen,lito.eth,https://pbs.twimg.com/profile_images/1722778304149860352/nn4TPpNA_normal.png,4
blue,0xe6aDEF9101D9694b6faC17B4f1629650768661B1,arjunblj,Arjun Balaji,https://pbs.twimg.com/profile_images/1596449169702535170/IjTirLOc_normal.jpg,4
orange,0x01b7baA7baA864fEF3CD1C7bc118Cc97cEdCB33f,gaby_goldberg,Gaby Goldberg,https://pbs.twimg.com/profile_images/1607892756571238402/o6yI_kff_normal.jpg,4
red,0x0029Ab135b5Be72168BF80F140D60a9264dbD0C5,A_Balyasnikov,Andrey Balyasnikov,https://pbs.twimg.com/profile_images/1557292213331173376/lTyETYOU_normal.jpg,4
gold,0x1b1317E28AF98ca7EFBE5f13256fF19d1fbaf2f0,Cranium8458,Mbembe,https://pbs.twimg.com/profile_images/1407508578743771137/WSTn6P9H_normal.jpg,4
yellow,0xC2Ada2B145eDA329E4301e2dEAA3601B5d188716,seethoven,seethoven,https://pbs.twimg.com/profile_images/1723037260981960704/5d8PrPTe_normal.jpg,4
white,0xBA84393AD74905aF69035BF285c9A59a667bFB4c,yellen_2k,0xyellen🪬,https://pbs.twimg.com/profile_images/1749746737961717760/3d6M4Oo3_normal.jpg,4
red,0x75A63c897B577af6F979078dcD6021BCD97F3ec8,Albumalbum5,Sénèkton,https://pbs.twimg.com/profile_images/1456371880047300610/1x9PV-Hy_normal.jpg,4
silver,0x75c5dCE2Ca800A51931e970119329EC5147D60E1,sia_kazi,Sia,https://pbs.twimg.com/profile_images/1506804456951881732/3MJgbEqa_normal.jpg,4
silver,0x74B78e98093F5B522A7eBDAc3B994641cA7c2b20,jordanmessina,Jordan Messina (ctrlc.eth),https://pbs.twimg.com/profile_images/1655613340058636288/yikGAALh_normal.jpg,4
blue,0x49b219F12ec04694268F3b950AaCCC2d8D3E6b56,JSunDerulo,jsunderulo,https://pbs.twimg.com/profile_images/1515112784593309697/VvGCZR-C_normal.jpg,4
gold,0x6A8eBc5a614aA723eB737B47cdC503422B9d3cdF,rubytaub,RubyG,https://pbs.twimg.com/profile_images/1689731468656799744/d4An03YL_normal.jpg,4
white,0xC43A8A2530dCf66F458f7531a8275752d60f7689,_ConorMoore,Conor Moore,https://pbs.twimg.com/profile_images/1615743648360005635/wIAzojmv_normal.jpg,4
gold,0xBe260B86e2eE35A406F9154107f242882aB00aEe,nickbytes,nickbytes,https://pbs.twimg.com/profile_images/1732478354430062592/_9B0Ish1_normal.jpg,4
orange,0xa776a67b8d0D5D61d219C6FdFC90680Db9EBc331,knowerofmarkets,knower,https://pbs.twimg.com/profile_images/1717261209420939264/u7Stghf6_normal.jpg,4
red,0xEa4C7bbb46473e2de10f0bA33B28E3aD9c26AF91,mmmargueta,marielisa,https://pbs.twimg.com/profile_images/1417951028717125633/T3jQUlLr_normal.jpg,4
blue,0xE996BCB72218d8601dB330cE269dF5b5Ab776FBD,NicolasPriem,Nicolas Priem,https://pbs.twimg.com/profile_images/1367432272849305602/ZxCNRC3G_normal.jpg,4
yellow,0xB15D23C1380B60eCaDB569403338B89B99213EE6,NoahNewfield,Newf.eth,https://pbs.twimg.com/profile_images/1717615644059824128/7zG4tQoM_normal.jpg,4
red,0x38488DCa8dccFEebfD3CC298436134e3b3aF6B8B,SHL0MS,█̶̳̘͛̄̃͒̄̃͜█̴͇̱̅͒̅█̵̻̣̝͒̈̄̈͝͝█̴̞̜̻̝͍̂̽͜█̷̢,https://pbs.twimg.com/profile_images/1659383482219364353/G0wVDIP1_normal.png,4
orange,0xa9cE598b9286ACECF2E495D663FaA611256910F1,derekalia,DΞRΞK,https://pbs.twimg.com/profile_images/1613311455339876354/v_q2TrQi_normal.jpg,4
silver,0xf962D5BA995a4E048B3Eb2e9a9a627288b85d64C,goliath_y,.,https://pbs.twimg.com/profile_images/1734242718186967040/lgaB6yOy_normal.jpg,4
yellow,0x7cb71C594FEBACE6b6bA11126abeB8Cc860cB24A,0xYugi,yugi.⌐◨-◨,https://pbs.twimg.com/profile_images/1672600114685149191/1rv6ZGzd_normal.jpg,4
silver,0x8ACFe17a5Fe62966A27E579e28c10e936de614f2,HollanderAdam,Adam Hollander,https://pbs.twimg.com/profile_images/1749635604327936000/bcqm12_k_normal.jpg,4
gold,0xCB628527d70f081a763E4Fc003ebC67260B181fE,maxmcq,Max McQuillan,https://pbs.twimg.com/profile_images/1590414227440664578/xQQCSeii_normal.jpg,4
orange,0xD3E401814d1FaA8ca0419EccCBFeE93aC7B15B31,Komorebi8888,Komorebi88,https://pbs.twimg.com/profile_images/1585771286021611522/dRYOMolh_normal.jpg,4
silver,0x9DD32D4Cbf47b80Bb6e32B639B52f7e8FD8Fba4F,0xrajath,Rajath Alex,https://pbs.twimg.com/profile_images/1460798702856069124/N8SH24wo_normal.jpg,4
